id,title,poster_path,status,genre,overview,budget,revenue,production_country,production_company,vote_count,vote_average,release_date,language
417384,Scary Stories to Tell in the Dark,/kNjEmQGBm9cYqTB03r6yECozQyW.jpg,Released,Horror,"Mill Valley, Pennsylvania, Halloween night, 1968. After playing a joke on a school bully, Stella and her friends decide to sneak into a supposedly haunted house that once belonged to the powerful Bellows family, unleashing dark forces that they will be unable to control.",25000000,104545505,"1212 Entertainment, Double Dare You Productions, Entertainment One, CBS Films, Rolling Hills, Hivemind, Starlight Culture Entertainment Group","1212 Entertainment, Double Dare You Productions, Entertainment One, CBS Films, Rolling Hills, Hivemind, Starlight Culture Entertainment Group",2423,6.5,2019-08-08,en
601666,I Care a Lot,/gKnhEsjNefpKnUdAkn7INzIFLSu.jpg,Released,Comedy,A court-appointed legal guardian defrauds her older clients and traps them under her care. But her latest mark comes with some unexpected baggage.,0,0,"Black Bear Pictures, Crimple Beck, STX Films","Black Bear Pictures, Crimple Beck, STX Films",2417,6.632,2021-02-19,en
594767,Shazam! Fury of the Gods,/A3ZbZsmsvNGdprRi2lKgGEeVLEH.jpg,Released,Comedy,"Billy Batson and his foster siblings, who transform into superheroes by saying ""Shazam!"", are forced to get back into action and fight the Daughters of Atlas, who they must stop from using a weapon that could destroy the world.",125000000,133437105,"New Line Cinema, The Safran Company, DC Films","New Line Cinema, The Safran Company, DC Films",2416,6.662,2023-03-15,en
308369,Me and Earl and the Dying Girl,/eLjS2bLMjln2n2I73Xu6TaANPDZ.jpg,Released,Drama,"Greg is coasting through senior year of high school as anonymously as possible, avoiding social interactions like the plague while secretly making spirited, bizarre films with Earl, his only friend. But both his anonymity and friendship threaten to unravel when his mother forces him to befriend a classmate with leukemia.",0,0,"Indian Paintbrush, Rhode Island Ave. Productions","Indian Paintbrush, Rhode Island Ave. Productions",2415,7.542,2015-06-12,en
10637,Remember the Titans,/825ohvC4wZ3gCuncCaqkWeQnK8h.jpg,Released,Drama,"After leading his football team to 15 winning seasons, coach Bill Yoast is demoted and replaced by Herman Boone – tough, opinionated and as different from the beloved Yoast as he could be. The two men learn to overcome their differences and turn a group of hostile young men into champions.",30000000,136706683,"Jerry Bruckheimer Films, Run It Up Productions Inc., Technical Black, Walt Disney Pictures","Jerry Bruckheimer Films, Run It Up Productions Inc., Technical Black, Walt Disney Pictures",2415,7.627,2000-09-29,en
49527,Man on a Ledge,/fn75crX6sRcKRc7lhuqKTenppQE.jpg,Released,Action,"An ex-cop turned con threatens to jump to his death from a Manhattan hotel rooftop. The NYPD dispatch a female police psychologist to talk him down. However, unbeknownst to the police on the scene, the suicide attempt is a cover for the biggest diamond heist ever pulled.",42000000,46221189,"Summit Entertainment, di Bonaventura Pictures","Summit Entertainment, di Bonaventura Pictures",2411,6.431,2012-01-13,en
9336,Police Academy,/m5a1U549gokC1kxsqgQoRb6XpFg.jpg,Released,Comedy,"New rules enforced by the Lady Mayoress mean that sex, weight, height and intelligence need no longer be a factor for joining the Police Force. This opens the floodgates for all and sundry to enter the Police Academy, much to the chagrin of the instructors. Not everyone is there through choice, though. Social misfit Mahoney has been forced to sign up as the only alternative to a jail sentence and it doesn't take long before he falls foul of the boorish Lieutenant Harris. But before long, Mahoney realises that he is enjoying being a police cadet and decides he wants to stay... while Harris decides he wants Mahoney out!",4500000,81198894,"The Ladd Company, Warner Bros. Pictures","The Ladd Company, Warner Bros. Pictures",2409,6.655,1984-03-22,en
9373,The Texas Chainsaw Massacre,/qJ9Cw1J4EmhBApoue4qlhqVrCZ7.jpg,Released,Horror,"After picking up a traumatized young hitchhiker, five friends find themselves stalked and hunted by a chainsaw-wielding killer and his family of equally psychopathic killers.",9500000,107363905,"Focus Features, New Line Cinema, Next Entertainment, Platinum Dunes, Chainsaw Productions LLC, Radar Pictures","Focus Features, New Line Cinema, Next Entertainment, Platinum Dunes, Chainsaw Productions LLC, Radar Pictures",2408,6.237,2003-05-21,en
484641,Anna,/2U0oAVAE0lDRhNmJPPYhDW9kQ8t.jpg,Released,Thriller,Beneath Anna Poliatova's striking beauty lies a secret that will unleash her indelible strength and skill to become one of the world's most feared government assassins.,34000000,31626978,"EuropaCorp, TF1 Films Production, Summit Entertainment, Work in Progress, Fetish Film, Skyprod, Ondamax Films","EuropaCorp, TF1 Films Production, Summit Entertainment, Work in Progress, Fetish Film, Skyprod, Ondamax Films",2408,6.673,2019-06-19,fr
9539,Martyrs,/2PmVlnPVG8tGXqC85YiHzL0jX40.jpg,Released,Horror,"A young woman’s quest for revenge against the people who kidnapped and tortured her as a child leads her and her best friend, also a victim of child abuse, on a terrifying journey into a living hell of depravity.",6500000,1100000,"Wild Bunch, TCB Films, CinéCinéma, Canal+ Horizons, Eskwad, Canal+","Wild Bunch, TCB Films, CinéCinéma, Canal+ Horizons, Eskwad, Canal+",2407,7.334,2008-09-03,fr
388399,Patriots Day,/mIDxsJTrOC7NhgOo3GziiHyKfsQ.jpg,Released,Action,"In the aftermath of an unspeakable act of terror, Police Sergeant Tommy Saunders joins courageous survivors, first responders and investigators in a race against the clock to hunt down the Boston Marathon bombers before they strike again.",45000000,50548152,"TIK Films, CBS Films, Closest to the Hole Productions, Bluegrass Films, Hutch Parker Entertainment, Leverage","TIK Films, CBS Films, Closest to the Hole Productions, Bluegrass Films, Hutch Parker Entertainment, Leverage",2406,7.042,2016-12-12,en
8874,My Best Friend's Wedding,/b5g4bp8gS5ovMyR5439AII6zQ3n.jpg,Released,Comedy,"When she receives word that her longtime platonic pal Michael O'Neal is getting married to debutante Kimberly Wallace, food critic Julianne Potter realizes her true feelings for Michael -- and sets out to sabotage the wedding.",38000000,299288605,"TriStar Pictures, Zucker Brothers Productions, Predawn Productions","TriStar Pictures, Zucker Brothers Productions, Predawn Productions",2405,6.599,1997-06-19,en
565426,To All the Boys: P.S. I Still Love You,/maib5VlmEqp5xlN8lptnBSftp2o.jpg,Released,Romance,Lara Jean and Peter have just taken their romance from pretend to officially real when another recipient of one of her love letters enters the picture.,0,0,"Awesomeness Films, ACE Entertainment","Awesomeness Films, ACE Entertainment",2403,6.87,2020-02-12,en
9614,Happy Gilmore,/4RnCeRzvI1xk5tuNWjpDKzSnJDk.jpg,Released,Comedy,"Failed hockey player-turned-golf whiz Happy Gilmore -- whose unconventional approach and antics on the grass courts the ire of rival Shooter McGavin -- is determined to win a PGA tournament so he can save his granny's house with the prize money. Meanwhile, an attractive tour publicist tries to soften Happy's image.",12000000,41205099,"Universal Pictures, Brillstein-Grey Entertainment, Robert Simonds Productions","Universal Pictures, Brillstein-Grey Entertainment, Robert Simonds Productions",2400,6.619,1996-02-16,en
600583,The Power of the Dog,/kEy48iCzGnp0ao1cZbNeWR6yIhC.jpg,Released,Drama,"A domineering but charismatic rancher wages a war of intimidation on his brother's new wife and her teen son, until long-hidden secrets come to light.",0,0,"BBC Film, See-Saw Films, Cross City Films, New Zealand Film Commission, Bad Girl Creek, Max Films","BBC Film, See-Saw Films, Cross City Films, New Zealand Film Commission, Bad Girl Creek, Max Films",2400,6.792,2021-10-25,en
55787,Water for Elephants,/yJ8kiGDA2FDdiy8hhlM1su10OCH.jpg,Released,Drama,"In this captivating Depression-era melodrama, impetuous veterinary student Jacob Jankowski joins a celebrated circus as an animal caretaker but faces a wrenching dilemma when he's transfixed by angelic married performer Marlena.",38000000,117094902,"Big Screen Productions, Fox 2000 Pictures, Flashpoint Entertainment, Dune Entertainment, Ingenious Media","Big Screen Productions, Fox 2000 Pictures, Flashpoint Entertainment, Dune Entertainment, Ingenious Media",2397,6.943,2011-04-15,en
227719,Project Almanac,/r59tzuqi6AoxRKdPHzg3ZBke7aA.jpg,Released,Science Fiction,"A group of teens discover secret plans of a time machine, and construct one. However, things start to get out of control.",12000000,33213241,"Insurge Pictures, Paramount, MTV Films, Platinum Dunes","Insurge Pictures, Paramount, MTV Films, Platinum Dunes",2397,6.729,2015-01-28,en
